,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
400,NKS939,8,KPHX,02/18/2017 19:47:00,A320,2,8,B8,1084.15,,
401,SWA4927,8,KPHX,02/18/2017 19:00:00,B733,D3,10,B8,814.17,,
402,ASA656,8,KPHX,02/18/2017 19:00:00,B739,10,9,B8,979.31,,
403,AAL612,7R,KPHX,02/18/2017 20:45:00,A320,A2,4,G5,876.48,,
404,AAL551,8,KPHX,02/18/2017 20:50:00,A321,A19,4,B8,455.11,,
405,SWA2312,8,KPHX,02/18/2017 19:35:00,B737,C18,13,B8,1036.22,,
406,CPZ5705,8,KPHX,02/18/2017 19:20:00,E75S,18,1,B7,91.85,,
407,AAL2341,8,KPHX,02/18/2017 19:15:00,B738,B13,6,B10,1120.01,,
408,ASH5944,7R,KPHX,02/18/2017 20:40:00,CRJ9,B16,6,G6,363.38,,
409,SWA5543,8,KPHX,02/18/2017 18:40:00,B738,D1,10,B8,799.39,,
410,AAL985,7R,KPHX,02/18/2017 20:55:00,B738,A22,3,G5,808.79,,
411,UAL611,8,KPHX,02/18/2017 18:31:00,B739,7,9,B8,1008.54,,
412,ASH5989,8,KPHX,02/18/2017 20:30:00,CRJ9,B3,6,B11,211.95,,
413,SWA5126,7R,KPHX,02/18/2017 19:05:00,B737,C17,12,G8,601.63,,
414,AAL1168,7R,KPHX,02/18/2017 21:00:00,B738,B6,5,G5,953.48,,
415,AAL1712,8,KPHX,02/18/2017 20:48:00,A321,A26,3,B8,475.35,,
416,AAL514,8,KPHX,02/18/2017 20:40:00,A319,A6,4,B8,403.41,,
417,AAL429,7R,KPHX,02/18/2017 20:29:00,A321,A21,4,G5,839.55,,
418,AAL1467,7R,KPHX,02/18/2017 20:47:00,B738,A25,4,G6,858.55,,
419,DAL899,8,KPHX,02/18/2017 19:20:00,MD90,15,2,B7,258.2,,
420,AAL634,7R,KPHX,02/18/2017 20:45:00,A319,A10,4,G4,1239.88,,
421,SWA1394,8,KPHX,02/18/2017 18:00:00,B737,C13,12,B8,1017.78,,
422,ASA610,8,KPHX,02/18/2017 20:15:00,B739,11,9,B8,1077.33,,
423,SWA580,7R,KPHX,02/18/2017 20:25:00,B738,C16,13,G8,705.43,,
424,SWA2697,7L,KPHX,02/18/2017 21:45:00,B737,D7,10,E11,472.22,,
425,SWA2291,8,KPHX,02/18/2017 19:40:00,B737,D8,11,B8,1408.35,,
426,AAL552,8,KPHX,02/18/2017 20:45:00,A319,A4,4,B8,517.0,,
427,AAL599,8,KPHX,02/18/2017 20:35:00,A320,A8,4,B8,466.93,,
428,SWA5105,8,KPHX,02/18/2017 20:25:00,B737,D2,11,B8,1413.8,,
429,SKW2900,7R,KPHX,02/18/2017 20:35:00,CRJ7,B1A,6,G5,387.13,,
430,AAL526,8,KPHX,02/18/2017 20:55:00,A319,A12,4,B8,509.26,,
431,ASH5950,7R,KPHX,02/18/2017 22:30:00,CRJ9,B16,6,G5,409.25,,
432,SKW3041,8,KPHX,02/18/2017 22:24:00,CRJ7,B9,6,B11,259.15,,
433,AAL462,8,KPHX,02/18/2017 22:00:00,A321,A24,3,B8,413.99,,
