,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
122,DAL801,27L,KATL,02/17/2017 15:55:00,B739,A11,13,59,439.42,,
123,DAL1295,26R,KATL,02/17/2017 16:10:00,MD88,T04,12,8,905.23,,
124,DAL2155,26R,KATL,02/17/2017 14:00:00,B738,A32,1,8,776.77,,
125,DAL764,26R,KATL,02/17/2017 16:00:00,MD90,B33,3,9,601.25,,
126,ASQ5153,26R,KATL,02/17/2017 16:00:00,CRJ9,D15,11,9,206.72,,
127,DAL1243,27L,KATL,02/17/2017 15:40:00,MD90,B34,2,59,648.55,,
128,DAL2457,27L,KATL,02/17/2017 15:30:00,MD88,A30,1,59,1163.0,,
129,DAL1883,28,KATL,02/17/2017 16:20:00,A321,D12,10,73,1289.39,,
130,SWA1234,26R,KATL,02/17/2017 16:20:00,B737,C13,15,9,891.97,,
131,DAL2298,28,KATL,02/17/2017 16:18:00,MD88,T01,12,72,1432.56,,
132,DAL1480,27L,KATL,02/17/2017 16:36:00,B712,C40,3,59,645.86,,
133,ASQ5334,27L,KATL,02/17/2017 16:25:00,CRJ2,D41,5,59,381.65,,
134,DAL1190,27L,KATL,02/17/2017 16:20:00,MD88,B05,14,59,452.79,,
135,ASQ5372,27L,KATL,02/17/2017 16:47:00,CRJ2,D31,5,59,382.89,,
136,DAL1134,28,KATL,02/17/2017 16:10:00,MD88,B20,8,73,1619.03,,
137,DAL2460,27L,KATL,02/17/2017 16:08:00,A321,A34,1,59,758.34,,
138,NKS557,27L,KATL,02/17/2017 16:14:00,A320,D3,16,59,772.55,,
139,DAL1616,26R,KATL,02/17/2017 15:00:00,MD90,A12,7,8,812.99,,
140,DAL1987,27L,KATL,02/17/2017 16:04:00,B752,A03,13,59,625.06,,
141,ASQ5582,26R,KATL,02/17/2017 16:13:00,CRJ2,D39,5,9,185.62,,
142,DAL1112,26R,KATL,02/17/2017 16:19:00,B712,C46,3,9,617.27,,
143,DAL1891,27L,KATL,02/17/2017 16:35:00,MD90,B11,14,59,487.04,,
144,DAL1672,26R,KATL,02/17/2017 16:01:00,MD88,B24,2,8,629.72,,
145,SKW4847,26R,KATL,02/17/2017 16:55:00,CRJ2,D34,4,9,267.77,,
146,DAL2120,26R,KATL,02/17/2017 16:30:00,B712,C35,10,9,768.33,,
147,DAL1639,27L,KATL,02/17/2017 16:49:00,B712,C47,4,59,793.65,,
148,SKW4476,26R,KATL,02/17/2017 16:04:00,CRJ2,D30,4,9,226.27,,
149,SKW4656,27L,KATL,02/17/2017 16:33:00,CRJ2,D07,16,59,292.55,,
150,DAL2056,27L,KATL,02/17/2017 16:38:00,MD90,B14,8,59,497.08,,
151,DAL2057,26R,KATL,02/17/2017 15:55:00,B738,T03,12,8,908.53,,
152,ASH6287,27L,KATL,02/17/2017 16:15:00,E75L,T13,1,58,351.92,,
153,DAL752,26R,KATL,02/17/2017 16:55:00,B712,D09,16,9,659.45,,
154,ASQ5485,27L,KATL,02/17/2017 16:45:00,CRJ2,D08,15,60,207.93,,
155,DAL2250,27L,KATL,02/17/2017 16:56:00,B712,D9A,16,59,736.7,,
156,DAL1598,26R,KATL,02/17/2017 14:00:00,B739,A18,7,8,829.54,,
157,DAL1317,27L,KATL,02/17/2017 17:30:00,MD88,B13,9,59,598.0,,
158,DAL2251,26R,KATL,02/17/2017 17:30:00,B712,D05,16,9,630.43,,
159,DAL1420,28,KATL,02/17/2017 16:50:00,A321,C52,3,73,1665.48,,
160,DAL1570,26R,KATL,02/17/2017 17:20:00,MD88,D14,10,9,644.96,,
161,NKS452,27L,KATL,02/17/2017 17:21:00,A319,D4,15,59,650.25,,
162,DAL1272,26R,KATL,02/17/2017 16:32:00,B712,E27,6,11,427.22,,
163,DAL2452,26R,KATL,02/17/2017 17:15:00,MD88,D16,10,9,661.3,,
164,DAL1276,26R,KATL,02/17/2017 17:25:00,MD88,B36,2,8,981.0,,
165,DAL1160,26R,KATL,02/17/2017 17:05:00,MD88,B29,3,9,599.15,,
166,DAL1905,27L,KATL,02/17/2017 17:25:00,A321,T05,12,59,700.0,,
167,DAL1302,26R,KATL,02/17/2017 17:45:00,A319,B19,9,9,868.15,,
168,SWA4476,28,KATL,02/17/2017 17:00:00,B738,C4,14,73,1132.1,,
169,DAL94,26R,KATL,02/17/2017 17:15:00,MD88,B16,8,8,691.95,,
170,DAL1235,27L,KATL,02/17/2017 17:05:00,B712,C43,4,59,816.21,,
171,DAL2009,27L,KATL,02/17/2017 17:43:00,B712,C37,10,59,717.78,,
172,DAL1653,27L,KATL,02/17/2017 17:15:00,B712,C49,4,61,846.09,,
173,DAL1379,28,KATL,02/17/2017 18:14:00,MD88,B23,9,73,1481.96,,
174,DAL2123,28,KATL,02/17/2017 17:12:00,B737,A17,8,73,1310.05,,
175,SWA1065,26R,KATL,02/17/2017 17:35:00,B738,C17,10,9,666.7,,
176,DAL2515,27L,KATL,02/17/2017 16:55:00,B739,A32,1,59,1169.43,,
177,DAL1592,28,KATL,02/17/2017 16:45:00,A320,C40,3,72,1437.83,,
178,ASQ5111,26R,KATL,02/17/2017 17:05:00,CRJ7,D11,11,9,217.48,,
179,DAL1767,26R,KATL,02/17/2017 17:18:00,MD88,C50,3,9,653.93,,
180,DAL2232,26R,KATL,02/17/2017 15:55:00,MD88,E36,5,9,473.69,,
181,DAL2463,26R,KATL,02/17/2017 17:13:00,B712,E33,6,9,734.26,,
182,DAL2091,28,KATL,02/17/2017 17:45:00,MD88,A30,1,72,1598.63,,
183,SWA1153,28,KATL,02/17/2017 17:25:00,B733,C1,15,73,1197.64,,
184,DAL1108,26R,KATL,02/17/2017 15:30:00,A333,E28,5,9,622.72,,
185,DAL2074,27L,KATL,02/17/2017 17:40:00,MD88,B18,8,59,563.06,,
186,DAL1725,28,KATL,02/17/2017 17:51:00,MD88,B24,2,71,1595.39,,
187,DAL82,27L,KATL,02/17/2017 17:58:00,MD88,B03,14,59,481.04,,
188,SWA540,27L,KATL,02/17/2017 17:20:00,B738,C20,9,59,576.36,,
189,DAL1083,28,KATL,02/17/2017 17:27:00,MD88,B28,2,72,1522.95,,
190,DAL1156,26R,KATL,02/17/2017 14:41:00,B739,T01,12,8,1362.55,,
191,DAL2026,27L,KATL,02/17/2017 17:55:00,A321,A04,12,59,608.45,,
192,SKW4841,27L,KATL,02/17/2017 17:45:00,CRJ2,D44,4,61,370.34,,
193,DAL329,27L,KATL,02/17/2017 17:45:00,MD88,A34,1,59,1201.98,,
194,RPA4640,27L,KATL,02/17/2017 17:40:00,E75L,T11,7,58,290.27,,
195,ENY3679,26R,KATL,02/17/2017 17:50:00,CRJ7,T9,7,8,364.89,,
196,DAL1915,27L,KATL,02/17/2017 17:25:00,MD90,T02,12,59,593.2,,
197,ASQ5499,26R,KATL,02/17/2017 18:20:00,CRJ2,D33,5,9,222.34,,
198,SKW4444,26R,KATL,02/17/2017 18:30:00,CRJ2,D08,15,9,345.28,,
199,SKW109Y,27L,KATL,02/17/2017 17:30:00,CRJ2,D24,10,59,291.2,,
200,DAL1373,28,KATL,02/17/2017 18:35:00,MD90,B33,3,73,1345.2,,
201,DAL2401,27L,KATL,02/17/2017 17:40:00,B712,C35,10,60,656.41,,
202,DAL1215,26R,KATL,02/17/2017 15:30:00,B752,A28,1,8,744.59,,
203,DAL1696,27L,KATL,02/17/2017 17:49:00,MD88,D12,10,59,741.06,,
204,DAL1656,27L,KATL,02/17/2017 18:31:00,MD90,A17,8,59,515.48,,
205,DAL2487,27L,KATL,02/17/2017 18:00:00,B712,C43,4,59,805.13,,
206,DAL1710,28,KATL,02/17/2017 18:15:00,MD88,B04,13,73,1478.22,,
207,DAL1914,27L,KATL,02/17/2017 17:55:00,MD90,B13,9,59,611.28,,
208,DAL2659,27L,KATL,02/17/2017 18:10:00,MD88,B11,14,61,752.48,,
209,DAL1375,27L,KATL,02/17/2017 16:10:00,B763,E14,6,60,1446.52,,
210,DAL2496,26R,KATL,02/17/2017 19:08:00,A319,A33,2,8,1050.95,,
211,DAL751,26R,KATL,02/17/2017 18:23:00,B712,C37,10,8,591.15,,
212,AAL2079,26R,KATL,02/17/2017 18:00:00,A319,D21,11,9,673.57,,
213,DAL1389,28,KATL,02/17/2017 19:20:00,B737,E15,17,73,1256.15,,
214,DAL2597,26R,KATL,02/17/2017 19:16:00,MD88,B36,2,8,1032.91,,
215,DAL2481,26R,KATL,02/17/2017 18:20:00,B712,D16,10,8,586.11,,
216,DAL2402,28,KATL,02/17/2017 18:25:00,MD90,B34,2,72,1470.5,,
217,DAL662,27L,KATL,02/17/2017 18:40:00,A321,A02,12,59,580.98,,
218,ASQ5537,27L,KATL,02/17/2017 17:52:00,CRJ9,E27,6,59,420.33,,
219,DAL2325,26R,KATL,02/17/2017 16:40:00,B739,A03,13,8,1186.0,,
220,DAL1918,27L,KATL,02/17/2017 16:15:00,B752,A24,1,59,921.15,,
221,DAL1360,26R,KATL,02/17/2017 19:30:00,MD88,B06,13,8,813.38,,
222,AAL1650,28,KATL,02/17/2017 16:50:00,A320,T10,7,73,1405.78,,
223,DAL1595,26R,KATL,02/17/2017 19:14:00,B712,C46,3,9,996.68,,
224,DAL1662,27L,KATL,02/17/2017 19:35:00,B712,D05,16,58,958.29,,
225,SWA1618,28,KATL,02/17/2017 18:55:00,B733,C15,10,73,1281.01,,
226,DAL1816,26R,KATL,02/17/2017 17:45:00,B752,T03,12,8,948.77,,
227,DAL2577,28,KATL,02/17/2017 19:20:00,B712,C42,3,72,1415.69,,
228,DAL857,26R,KATL,02/17/2017 19:16:00,B738,E05,17,11,757.43,,
229,DAL2132,28,KATL,02/17/2017 18:22:00,B739,A18,7,73,1426.5,,
230,DAL2864,26R,KATL,02/17/2017 16:00:00,B752,A15,8,8,670.31,,
231,DAL1058,27L,KATL,02/17/2017 19:20:00,A321,A01,13,59,459.71,,
232,DAL2540,27L,KATL,02/17/2017 19:20:00,MD88,B18,8,59,586.4,,
233,DAL1448,28,KATL,02/17/2017 18:49:00,A320,A27,2,72,1481.09,,
234,SWA4850,26R,KATL,02/17/2017 17:15:00,B737,C13,15,8,706.68,,
235,DAL464,26R,KATL,02/17/2017 18:35:00,A319,A31,2,8,592.67,,
236,DAL2399,27L,KATL,02/17/2017 19:15:00,MD88,B25,9,60,659.05,,
237,DAL1522,26R,KATL,02/17/2017 19:03:00,MD88,B21,9,9,1068.89,,
238,DAL1161,26R,KATL,02/17/2017 19:24:00,MD90,T01,12,8,1353.06,,
239,DAL1119,28,KATL,02/17/2017 19:30:00,B752,A20,7,72,1462.14,,
240,AAL1711,28,KATL,02/17/2017 18:55:00,A320,D23,11,73,1221.56,,
241,AAL1652,26R,KATL,02/17/2017 19:51:00,A319,T12,1,8,747.14,,
242,DAL932,28,KATL,02/17/2017 19:55:00,B712,C36,9,73,1271.38,,
243,ASQ5267,27L,KATL,02/17/2017 20:18:00,CRJ9,D12,10,60,262.36,,
244,DAL2367,27L,KATL,02/17/2017 19:25:00,B712,C47,4,59,806.26,,
245,DAL200,26R,KATL,02/17/2017 19:15:00,B739,A25,2,8,593.06,,
246,DAL2383,26R,KATL,02/17/2017 16:55:00,B739,A30,1,8,726.4,,
247,DAL2297,27L,KATL,02/17/2017 20:31:00,B739,T02,12,59,597.22,,
248,ASQ5434,27L,KATL,02/17/2017 20:30:00,CRJ2,D32,4,60,302.0,,
249,DAL2141,27L,KATL,02/17/2017 19:50:00,MD88,T06,7,59,729.35,,
250,DAL2564,27L,KATL,02/17/2017 19:55:00,MD88,E35,6,58,1322.38,,
251,DAL151,27L,KATL,02/17/2017 19:55:00,A321,D9A,16,60,418.7,,
252,DAL2446,27L,KATL,02/17/2017 19:50:00,B752,E36,5,59,918.05,,
253,DAL1765,27L,KATL,02/17/2017 19:54:00,B752,E10,11,60,569.56,,
254,DAL2133,27L,KATL,02/17/2017 20:40:00,MD88,B33,3,59,697.67,,
255,DAL673,27L,KATL,02/17/2017 19:10:00,MD88,T04,12,59,739.69,,
256,SKW3529,26R,KATL,02/17/2017 20:25:00,CRJ2,D07,16,9,293.21,,
257,DAL1425,27L,KATL,02/17/2017 20:03:00,B738,C37,10,59,735.44,,
258,DAL2505,27L,KATL,02/17/2017 19:40:00,B712,E31,6,60,694.5,,
259,DAL1270,28,KATL,02/17/2017 20:46:00,MD88,B04,13,73,1512.79,,
260,DAL2573,26R,KATL,02/17/2017 20:11:00,B712,C42,3,8,429.58,,
261,DAL2528,26R,KATL,02/17/2017 20:11:00,MD88,B24,2,8,586.35,,
262,DAL1152,27L,KATL,02/17/2017 20:20:00,A320,A33,2,59,1039.81,,
263,DAL618,28,KATL,02/17/2017 20:45:00,B712,C43,4,72,1478.16,,
264,ASQ5174,26R,KATL,02/17/2017 20:56:00,CRJ2,D40,4,9,267.7,,
265,AAL1678,26R,KATL,02/17/2017 18:36:00,E190,T11,7,8,324.75,,
266,DAL108,28,KATL,02/17/2017 20:08:00,MD88,B09,14,72,1275.71,,
267,SWA1675,26R,KATL,02/17/2017 20:00:00,B733,C9,15,9,868.06,,
268,ASQ5145,27L,KATL,02/17/2017 20:56:00,CRJ2,D44,4,60,313.51,,
269,SWA1446,27L,KATL,02/17/2017 20:40:00,B737,C6,14,60,539.25,,
270,DAL1157,28,KATL,02/17/2017 20:04:00,B737,E03,17,73,1290.65,,
271,DAL1564,27L,KATL,02/17/2017 19:52:00,MD88,B05,14,60,541.31,,
272,DAL2320,26R,KATL,02/17/2017 20:05:00,B712,F10,18,9,956.34,,
273,NKS403,26R,KATL,02/17/2017 17:27:00,A319,D1A,16,9,1060.7,,
274,AAL1887,26R,KATL,02/17/2017 19:50:00,E190,D25,11,9,343.49,,
275,DAL1992,27L,KATL,02/17/2017 19:55:00,B739,T05,12,59,606.56,,
276,SKW4631,27L,KATL,02/17/2017 20:30:00,CRJ2,C55,4,61,311.05,,
277,DAL1546,27L,KATL,02/17/2017 18:30:00,B752,A07,13,59,618.63,,
278,ASQ5442,27L,KATL,02/17/2017 20:20:00,CRJ2,D27,11,59,350.28,,
