,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
29,CPZ6007,16R,KDEN,02/17/2017 23:45:00,E75L,A50,15,8,647.67,,
30,SKW5750,16L,KDEN,02/18/2017 00:35:00,CRJ2,B69,7,23,657.77,,
31,SKW5931,16R,KDEN,02/17/2017 23:49:00,CRJ2,B86,11,8,664.71,,
32,SWA269,16L,KDEN,02/18/2017 00:05:00,B738,C26,3,23,781.43,,
33,SWA4442,16R,KDEN,02/17/2017 22:30:00,B737,C27,1,8,1067.55,,
34,SWA1059,16L,KDEN,02/17/2017 23:50:00,B737,C24,3,21,850.61,,
35,SWA4508,16L,KDEN,02/17/2017 22:45:00,B738,C33,1,21,806.81,,
36,SWA924,16R,KDEN,02/18/2017 00:45:00,B737,C45,2,6,1313.43,,
37,SKW5684,16R,KDEN,02/18/2017 00:22:00,CRJ7,B84,11,8,693.17,,
38,SWA457,16L,KDEN,02/17/2017 23:40:00,B738,C23,1,21,1013.45,,
39,DAL834,16L,KDEN,02/17/2017 23:29:00,A320,A28,14,21,1416.08,,
40,AAL651,16L,KDEN,02/17/2017 23:29:00,A321,A51,13,21,1446.99,,
41,SWA689,16R,KDEN,02/18/2017 00:55:00,B737,C35,1,5,1576.34,,
42,SWA1601,16L,KDEN,02/17/2017 23:35:00,B737,C28,3,21,1034.33,,
43,SWA4155,16L,KDEN,02/18/2017 02:00:00,B733,C47,2,21,1223.92,,
44,SWA373,16R,KDEN,02/18/2017 01:20:00,B737,C29,1,7,1186.37,,
45,SWA3905,16R,KDEN,02/18/2017 01:45:00,B737,C46,4,8,1107.9,,
46,FFT939,16L,KDEN,02/17/2017 23:00:00,A319,A40,15,21,1694.32,,
47,SWA950,16R,KDEN,02/18/2017 01:40:00,B738,C24,3,6,1216.85,,
48,FFT801,16L,KDEN,02/18/2017 01:15:00,A319,A38,14,21,1492.55,,
49,SKW5686,16L,KDEN,02/18/2017 02:20:00,E75L,B49,6,23,548.47,,
50,SKW5754,16R,KDEN,02/18/2017 03:15:00,CRJ7,B80,11,8,884.69,,
51,DAL1748,16L,KDEN,02/18/2017 02:27:00,B739,A30,14,21,1378.54,,
52,SKW5584,16R,KDEN,02/18/2017 01:55:00,CRJ2,B48,10,8,828.68,,
53,SWA400,16L,KDEN,02/18/2017 01:00:00,B737,C32,3,21,1073.62,,
54,DAL2627,16R,KDEN,02/18/2017 03:30:00,A320,A28,14,8,1407.65,,
55,FFT251,16L,KDEN,02/18/2017 02:20:00,A319,A46,15,21,2375.62,,
56,FFT756,16R,KDEN,02/18/2017 03:05:00,A320,A32,14,9,976.51,,
57,DAL2850,16L,KDEN,02/18/2017 01:15:00,B738,A31,12,23,1104.93,,
58,NKS355,16R,KDEN,02/18/2017 01:10:00,A321,A52,15,5,2577.76,,
59,CPZ5718,16L,KDEN,02/18/2017 03:00:00,E75S,A30,14,23,594.53,,
60,CPZ6028,16L,KDEN,02/18/2017 02:25:00,E75L,A43,13,23,627.64,,
61,AAL1532,16L,KDEN,02/18/2017 00:59:00,B738,A51,13,21,2068.47,,
62,SWA4182,16L,KDEN,02/18/2017 04:05:00,B738,C27,1,21,1553.86,,
63,CPZ5827,16L,KDEN,02/18/2017 03:45:00,E170,A30,14,23,628.82,,
64,DAL2500,16L,KDEN,02/18/2017 03:08:00,B752,A31,12,21,1365.5,,
65,AAL446,16L,KDEN,02/18/2017 04:05:00,A321,A50,15,21,2307.67,,
66,NKS853,16L,KDEN,02/18/2017 04:05:00,A319,A60,16,26,1404.97,,
67,FFT794,16L,KDEN,02/18/2017 03:40:00,A320,A40,15,21,1802.75,,
68,ASA678,16R,KDEN,02/18/2017 03:40:00,B739,C39,1,6,1118.68,,
69,FFT714,16R,KDEN,02/18/2017 03:10:00,A319,A38,14,5,2113.63,,
70,SWA1224,16L,KDEN,02/18/2017 05:00:00,B737,C36,3,21,855.2,,
71,AAL1865,16L,KDEN,02/18/2017 03:14:00,A321,A53,13,21,1994.19,,
72,FFT423,16L,KDEN,02/18/2017 03:15:00,A320,A36,14,21,1869.91,,
73,SWA2937,16L,KDEN,02/18/2017 05:50:00,B737,C43,2,21,1665.87,,
74,UAL579,35L,KDEN,02/17/2017 13:43:00,A319,B52,10,46,1516.75,,
75,UAL1119,35L,KDEN,02/17/2017 13:55:00,B738,B20,9,49,1411.05,,
76,UAL339,16R,KDEN,02/17/2017 12:23:00,B739,B33,5,8,954.08,,
77,UAL735,16R,KDEN,02/17/2017 17:30:00,B739,B33,5,8,1045.61,,
78,UAL1975,16L,KDEN,02/17/2017 20:50:00,A319,B37,5,21,1267.42,,
79,UAL562,16L,KDEN,02/17/2017 20:35:00,A320,B25,5,26,632.07,,
80,UAL669,16L,KDEN,02/17/2017 23:54:00,B738,B23,5,21,998.73,,
81,SKW5552,16L,KDEN,02/18/2017 00:39:00,E75L,B52,10,23,676.68,,
82,UAL593,16L,KDEN,02/17/2017 23:32:00,B738,B27,5,21,1165.03,,
83,UAL1589,16L,KDEN,02/17/2017 23:55:00,B739,B31,5,21,882.18,,
84,UAL1245,16L,KDEN,02/18/2017 02:02:00,A319,B47,6,21,1273.81,,
85,UAL1893,16L,KDEN,02/18/2017 00:54:00,A320,B23,5,21,1061.57,,
86,JBU97,16L,KDEN,02/18/2017 01:21:00,A321,A35,12,23,1102.64,,
87,UAL1963,16L,KDEN,02/18/2017 03:55:00,B739,B46,10,21,2236.82,,
88,UAL281,16L,KDEN,02/18/2017 04:00:00,B739,B44,10,21,1562.5,,
89,UAL2015,16L,KDEN,02/18/2017 04:45:00,B739,B39,6,26,1051.99,,
90,NKS930,16L,KDEN,02/18/2017 04:41:00,A319,A52,15,21,2281.69,,
91,SKW5979,16L,KDEN,02/18/2017 12:05:00,E75L,B53,6,23,654.58,,
92,UAL1192,16L,KDEN,02/18/2017 12:20:00,A320,B18,9,21,1777.42,,
93,FFT609,16L,KDEN,02/18/2017 11:00:00,A319,A36,14,21,1448.15,,
94,SKW5101,16R,KDEN,02/18/2017 12:28:00,CRJ2,B84,11,8,722.58,,
95,SKW5303,16L,KDEN,02/18/2017 14:00:00,CRJ7,B82,11,23,590.49,,
96,UAL2425,16R,KDEN,02/18/2017 14:05:00,A320,B37,5,5,1960.29,,
97,UAL244,16L,KDEN,02/18/2017 13:20:00,B739,B26,9,21,1149.78,,
98,UAL410,16L,KDEN,02/18/2017 13:40:00,B739,B21,5,21,1047.95,,
99,UAL756,16L,KDEN,02/18/2017 13:35:00,B738,B45,6,21,1087.83,,
100,FFT225,16L,KDEN,02/18/2017 12:30:00,A319,A32,14,21,1443.09,,
101,DAL1511,16L,KDEN,02/18/2017 13:25:00,A319,A28,14,21,2112.68,,
102,SKW5699,16R,KDEN,02/18/2017 13:41:00,CRJ7,B83,8,5,708.52,,
103,UAL349,16L,KDEN,02/18/2017 13:50:00,A319,B49,6,21,1881.54,,
104,UAL452,16L,KDEN,02/18/2017 14:23:00,B738,B39,6,21,1966.59,,
